Name,Year,Id,Start Date,End Date
'S-Hertogenbosch,2001,440,2001-06-18,2001-06-24
'S-Hertogenbosch,2002,440,2002-06-17,2002-06-23
'S-Hertogenbosch,2003,440,2003-06-16,2003-06-22
'S-Hertogenbosch,2004,440,2004-06-14,2004-06-20
'S-Hertogenbosch,2005,440,2005-06-13,2005-06-19
'S-Hertogenbosch,2006,440,2006-06-19,2006-06-25
'S-Hertogenbosch,2007,440,2007-06-17,2007-06-24
'S-Hertogenbosch,2008,440,2008-06-15,2008-06-22
'S-Hertogenbosch,2009,440,2009-06-14,2009-06-21
'S-Hertogenbosch,2010,440,2010-06-13,2010-06-19
'S-Hertogenbosch,2011,440,2011-06-12,2011-06-18
'S-Hertogenbosch,2012,440,2012-06-17,2012-06-23
'S-Hertogenbosch,2013,440,2013-06-16,2013-06-22
'S-Hertogenbosch,2014,440,2014-06-15,2014-06-21
'S-Hertogenbosch,2015,440,2015-06-08,2015-06-14
'S-Hertogenbosch,2016,440,2016-06-06,2016-06-13
'S-Hertogenbosch,2017,440,2017-06-12,2017-06-18
'S-Hertogenbosch,2018,440,2018-06-11,2018-06-17
'S-Hertogenbosch,2019,440,2019-06-10,2019-06-16
'S-Hertogenbosch,2020,440,2020-06-08,2020-06-14
'S-Hertogenbosch,2021,440,2021-06-07,2021-06-13
'S-Hertogenbosch,2022,440,2022-06-06,2022-06-12
'S-Hertogenbosch,2023,440,2023-06-12,2023-06-18
Acapulco,2001,807,2001-02-26,2001-03-04
Acapulco,2002,807,2002-02-25,2002-03-03
Acapulco,2003,807,2003-02-24,2003-03-02
Acapulco,2004,807,2004-03-01,2004-03-07
Acapulco,2005,807,2005-02-21,2005-02-27
Acapulco,2006,807,2006-02-27,2006-03-05
Acapulco,2007,807,2007-02-26,2007-03-04
Acapulco,2008,807,2008-02-25,2008-03-02
Acapulco,2009,807,2009-02-23,2009-03-01
Acapulco,2010,807,2010-02-22,2010-02-27
Acapulco,2011,807,2011-02-21,2011-02-26
Acapulco,2012,807,2012-02-27,2012-03-03
Acapulco,2013,807,2013-02-25,2013-03-02
Acapulco,2014,807,2014-02-24,2014-03-01
Acapulco,2015,807,2015-02-23,2015-02-28
Acapulco,2016,807,2016-02-22,2016-02-27
Acapulco,2017,807,2017-02-27,2017-03-04
Acapulco,2018,807,2018-02-26,2018-03-03
Acapulco,2019,807,2019-02-25,2019-03-02
Acapulco,2020,807,2020-02-24,2020-02-29
Acapulco,2021,807,2021-03-15,2021-03-20
Acapulco,2022,807,2022-02-21,2022-02-26
Acapulco,2023,807,2023-02-27,2023-03-04
Adelaide,2001,7308,2001-12-31,2002-01-06
Adelaide,2001,7308,2001-01-01,2001-01-07
Adelaide,2002,7308,2002-12-30,2003-01-05
Adelaide,2004,7308,2004-01-05,2004-01-11
Adelaide,2005,7308,2005-01-03,2005-01-09
Adelaide,2006,7308,2006-01-02,2006-01-08
Adelaide,2007,7308,2007-12-31,2008-01-06
Adelaide,2007,7308,2007-01-01,2007-01-07
Adelaide,2020,8998,2020-01-12,2020-01-18
Adelaide 1,2022,8998,2022-01-03,2022-01-09
Adelaide 1,2023,2843,2023-01-01,2023-01-08
Adelaide 2,2022,9667,2022-01-10,2022-01-15
Adelaide 2,2023,8998,2023-01-09,2023-01-14
Amersfoort,2002,317,2002-07-15,2002-07-21
Amersfoort,2003,317,2003-07-14,2003-07-20
Amersfoort,2004,317,2004-07-12,2004-07-18
Amersfoort,2005,317,2005-07-18,2005-07-24
Amersfoort,2006,317,2006-07-17,2006-07-23
Amersfoort,2007,317,2007-07-16,2007-07-22
Amersfoort,2008,317,2008-07-14,2008-07-20
Amsterdam,2001,317,2001-07-16,2001-07-22
Antalya,2017,7650,2017-06-25,2017-07-01
Antalya,2018,7650,2018-06-24,2018-06-30
Antalya,2019,7650,2019-06-23,2019-06-29
Antalya,2021,9426,2021-01-07,2021-01-13
Antwerp,2016,7485,2016-10-17,2016-10-23
Antwerp,2017,7485,2017-10-16,2017-10-22
Antwerp,2018,7485,2018-10-15,2018-10-21
Antwerp,2019,7485,2019-10-14,2019-10-20
Antwerp,2020,7485,2020-10-19,2020-10-25
Antwerp,2021,7485,2021-10-18,2021-10-24
Antwerp,2022,7485,2022-10-17,2022-10-23
Antwerp,2023,7485,2023-10-16,2023-10-22
Astana,2022,9410,2022-10-03,2022-10-09
Astana,2023,9410,2023-09-27,2023-10-03
Athens Olympics,2004,96,2004-08-16,2004-08-22
Atlanta,2001,409,2001-04-23,2001-04-29
Atlanta,2010,6116,2010-07-19,2010-07-25
Atlanta,2011,6116,2011-07-18,2011-07-24
Atlanta,2012,6116,2012-07-16,2012-07-22
Atlanta,2013,6116,2013-07-22,2013-07-28
Atlanta,2014,6116,2014-07-21,2014-07-27
Atlanta,2015,6116,2015-07-27,2015-08-02
Atlanta,2016,6116,2016-08-01,2016-08-07
Atlanta,2017,6116,2017-07-24,2017-07-30
Atlanta,2018,6116,2018-07-23,2018-07-29
Atlanta,2019,6116,2019-07-22,2019-07-28
Atlanta,2020,6116,2020-07-27,2020-08-02
Atlanta,2021,6116,2021-07-26,2021-08-01
Atlanta,2022,6116,2022-07-25,2022-07-31
Atlanta,2023,6116,2023-07-24,2023-07-30
Atp Cup,2020,8888,2020-01-03,2020-01-12
Atp Cup,2021,8888,2021-02-02,2021-02-07
Atp Cup,2022,8888,2022-01-01,2022-01-09
Atp Finals,2009,605,2009-11-22,2009-11-29
Atp Finals,2010,605,2010-11-21,2010-11-28
Atp Finals,2011,605,2011-11-20,2011-11-27
Atp Finals,2012,605,2012-11-05,2012-11-12
Atp Finals,2013,605,2013-11-04,2013-11-11
Atp Finals,2014,605,2014-11-09,2014-11-16
Atp Finals,2015,605,2015-11-15,2015-11-22
Atp Finals,2016,605,2016-11-13,2016-11-20
Atp Tour World Doubles Championship,2002,602,2002-01-29,2002-02-03
Auckland,2001,301,2001-01-08,2001-01-14
Auckland,2002,301,2002-01-07,2002-01-13
Auckland,2003,301,2003-01-06,2003-01-12
Auckland,2004,301,2004-01-12,2004-01-18
Auckland,2005,301,2005-01-10,2005-01-16
Auckland,2006,301,2006-01-09,2006-01-15
Auckland,2007,301,2007-01-08,2007-01-14
Auckland,2008,301,2008-01-07,2008-01-13
Auckland,2009,301,2009-01-12,2009-01-18
Auckland,2010,301,2010-01-11,2010-01-16
Auckland,2011,301,2011-01-10,2011-01-15
Auckland,2012,301,2012-01-09,2012-01-14
Auckland,2013,301,2013-01-07,2013-01-12
Auckland,2014,301,2014-01-06,2014-01-11
Auckland,2015,301,2015-01-12,2015-01-17
Auckland,2016,301,2016-01-11,2016-01-17
Auckland,2017,301,2017-01-09,2017-01-14
Auckland,2018,301,2018-01-08,2018-01-13
Auckland,2019,301,2019-01-07,2019-01-12
Auckland,2020,301,2020-01-13,2020-01-18
Auckland,2021,301,2021-01-11,2021-01-17
Auckland,2023,301,2023-01-09,2023-01-14
Australian Open,2001,580,2001-01-15,2001-01-28
Australian Open,2002,580,2002-01-14,2002-01-27
Australian Open,2003,580,2003-01-13,2003-01-26
Australian Open,2004,580,2004-01-19,2004-02-01
Australian Open,2005,580,2005-01-17,2005-01-30
Australian Open,2006,580,2006-01-16,2006-01-29
Australian Open,2007,580,2007-01-15,2007-01-28
Australian Open,2008,580,2008-01-14,2008-01-27
Australian Open,2009,580,2009-01-19,2009-02-01
Australian Open,2010,580,2010-01-18,2010-01-31
Australian Open,2011,580,2011-01-17,2011-01-30
Australian Open,2012,580,2012-01-16,2012-01-29
Australian Open,2013,580,2013-01-14,2013-01-27
Australian Open,2014,580,2014-01-13,2014-01-26
Australian Open,2015,580,2015-01-19,2015-02-01
Australian Open,2016,580,2016-01-18,2016-01-31
Australian Open,2017,580,2017-01-16,2017-01-29
Australian Open,2018,580,2018-01-15,2018-01-28
Australian Open,2019,580,2019-01-14,2019-01-27
Australian Open,2020,580,2020-01-20,2020-02-03
Australian Open,2021,580,2021-02-08,2021-02-21
Australian Open,2022,580,2022-01-17,2022-01-30
Australian Open,2023,580,2023-01-16,2023-01-29
Bangkok,2003,1720,2003-09-22,2003-09-28
Bangkok,2004,1720,2004-09-27,2004-10-03
Bangkok,2005,1720,2005-09-26,2005-10-02
Bangkok,2006,1720,2006-09-25,2006-10-01
Bangkok,2007,1720,2007-09-24,2007-09-30
Bangkok,2008,1720,2008-09-22,2008-09-28
Bangkok,2009,1720,2009-09-28,2009-10-04
Bangkok,2010,1720,2010-09-27,2010-10-03
Bangkok,2011,1720,2011-09-26,2011-10-02
Bangkok,2012,1720,2012-09-24,2012-09-30
Bangkok,2013,1720,2013-09-23,2013-09-29
Banja Luka,2023,2841,2023-04-17,2023-04-23
Barcelona,2001,425,2001-04-23,2001-04-29
Barcelona,2002,425,2002-04-22,2002-04-28
Barcelona,2003,425,2003-04-21,2003-04-27
Barcelona,2004,425,2004-04-26,2004-05-02
Barcelona,2005,425,2005-04-18,2005-04-24
Barcelona,2006,425,2006-04-24,2006-04-30
Barcelona,2007,425,2007-04-23,2007-04-29
Barcelona,2008,425,2008-04-28,2008-05-04
Barcelona,2009,425,2009-04-20,2009-04-26
Barcelona,2010,425,2010-04-19,2010-04-25
Barcelona,2011,425,2011-04-18,2011-04-24
Barcelona,2012,425,2012-04-23,2012-04-29
Barcelona,2013,425,2013-04-22,2013-04-28
Barcelona,2014,425,2014-04-21,2014-04-27
Barcelona,2015,425,2015-04-20,2015-04-26
Barcelona,2016,425,2016-04-18,2016-04-24
Barcelona,2017,425,2017-04-24,2017-04-30
Barcelona,2018,425,2018-04-23,2018-04-29
Barcelona,2019,425,2019-04-22,2019-04-28
Barcelona,2020,425,2020-04-20,2020-04-26
Barcelona,2021,425,2021-04-19,2021-04-25
Barcelona,2022,425,2022-04-18,2022-04-24
Barcelona,2023,425,2023-04-17,2023-04-23
Basel,2001,328,2001-10-22,2001-10-28
Basel,2002,328,2002-10-21,2002-10-27
Basel,2003,328,2003-10-20,2003-10-26
Basel,2004,328,2004-10-25,2004-10-31
Basel,2005,328,2005-10-24,2005-10-30
Basel,2006,328,2006-10-23,2006-10-29
Basel,2007,328,2007-10-22,2007-10-28
Basel,2008,328,2008-10-20,2008-10-26
Basel,2009,328,2009-11-02,2009-11-08
Basel,2010,328,2010-11-01,2010-11-07
Basel,2011,328,2011-10-31,2011-11-06
Basel,2012,328,2012-10-22,2012-10-28
Basel,2013,328,2013-10-21,2013-10-27
Basel,2014,328,2014-10-20,2014-10-26
Basel,2015,328,2015-10-26,2015-11-01
Basel,2016,328,2016-10-24,2016-10-30
Basel,2017,328,2017-10-23,2017-10-29
Basel,2018,328,2018-10-22,2018-10-28
Basel,2019,328,2019-10-21,2019-10-27
Basel,2020,328,2020-10-26,2020-11-01
Basel,2021,328,2021-10-25,2021-10-31
Basel,2022,328,2022-10-24,2022-10-30
Basel,2023,328,2023-10-23,2023-10-29
Bastad,2001,316,2001-07-09,2001-07-15
Bastad,2002,316,2002-07-08,2002-07-14
Bastad,2003,316,2003-07-07,2003-07-13
Bastad,2004,316,2004-07-05,2004-07-11
Bastad,2005,316,2005-07-04,2005-07-10
Bastad,2006,316,2006-07-10,2006-07-16
Bastad,2007,316,2007-07-09,2007-07-15
Bastad,2008,316,2008-10-20,2008-10-26
Bastad,2009,316,2009-07-13,2009-07-19
Bastad,2010,316,2010-07-12,2010-07-18
Bastad,2011,316,2011-07-11,2011-07-17
Bastad,2012,316,2012-07-09,2012-07-15
Bastad,2013,316,2013-07-08,2013-07-14
Bastad,2014,316,2014-07-07,2014-07-13
Bastad,2015,316,2015-07-20,2015-07-26
Bastad,2016,316,2016-07-11,2016-07-17
Bastad,2017,316,2017-07-17,2017-07-23
Bastad,2018,316,2018-07-16,2018-07-22
Bastad,2019,316,2019-07-15,2019-07-21
