,winner
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,0
9,1
10,1
11,0
12,1
13,0
14,1
15,0
16,0
17,1
18,0
19,0
20,1
21,0
22,0
23,0
24,1
25,1
26,1
27,1
28,0
29,0
30,1
31,1
32,1
33,1
34,1
35,0
36,0
37,1
38,0
39,1
40,0
41,1
42,1
43,1
44,0
45,0
46,0
47,0
48,1
49,0
50,1
51,1
52,0
53,1
54,1
55,0
56,0
57,1
58,1
59,0
60,1
61,0
62,1
63,0
64,0
65,0
66,1
67,1
68,1
69,0
70,0
71,0
72,0
73,1
74,1
75,1
76,0
77,1
78,1
79,1
80,0
81,0
82,1
83,1
84,0
85,0
86,1
87,1
88,1
89,0
90,1
91,1
92,0
93,0
94,1
95,0
96,0
97,1
98,0
99,0
100,0
101,1
102,0
103,0
104,0
105,1
106,0
107,0
108,0
109,0
110,0
111,1
112,1
113,1
114,1
115,1
116,0
117,1
118,0
119,0
120,0
121,1
122,0
123,1
124,0
125,1
126,0
127,0
128,1
129,0
130,1
131,1
132,1
133,1
134,0
135,1
136,1
137,0
138,1
139,0
140,0
141,0
142,1
143,1
144,1
145,0
146,0
147,0
148,1
149,0
150,1
151,0
152,1
153,0
154,0
155,1
156,1
157,0
158,0
159,0
160,0
161,1
162,1
163,0
164,0
165,1
166,0
167,0
168,0
169,0
170,1
171,1
172,1
173,1
174,1
175,1
176,0
177,1
178,1
179,0
180,1
181,1
182,0
183,1
184,0
185,1
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,1
194,0
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,0
203,0
204,0
205,1
206,1
207,1
208,1
209,1
210,0
211,0
212,1
213,1
214,0
215,0
216,1
217,1
218,0
219,1
220,1
221,0
222,0
223,0
224,1
225,0
226,1
227,1
228,0
229,0
230,1
231,1
232,1
233,0
234,1
235,0
236,0
237,1
238,0
239,1
240,0
241,1
242,0
243,1
244,0
245,1
246,0
247,0
248,0
249,1
250,0
251,1
252,0
253,1
254,0
255,1
256,1
257,1
258,1
259,1
260,1
261,0
262,0
263,0
264,0
265,0
266,0
267,1
268,1
269,0
270,0
271,1
272,0
273,0
274,1
275,1
276,0
277,0
278,0
279,0
280,1
281,1
282,0
283,0
284,0
285,1
286,0
287,1
288,0
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,0
298,1
299,1
300,1
301,1
302,0
303,0
304,1
305,1
306,0
307,1
308,0
309,0
310,0
311,0
312,1
313,1
314,1
315,0
316,1
317,0
318,1
319,1
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,1
331,1
332,0
333,1
334,1
335,0
336,0
337,1
338,1
339,1
340,0
341,0
342,0
343,0
344,1
345,0
346,1
347,1
348,0
349,1
350,0
351,0
352,0
353,1
354,1
355,0
356,0
357,1
358,0
359,1
360,1
361,1
362,0
363,0
364,0
365,0
366,0
367,1
368,1
369,1
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,1
379,1
380,1
381,0
382,0
383,0
384,1
385,1
386,0
387,1
388,1
389,1
390,1
391,1
392,0
393,0
394,1
395,0
396,0
397,1
398,1
399,0
400,1
401,1
402,0
403,0
404,1
405,0
406,0
407,1
408,0
409,0
410,1
411,0
412,1
413,0
414,1
415,0
416,1
417,1
418,1
419,0
420,0
421,1
422,0
423,1
424,1
425,1
426,0
427,1
428,1
429,1
430,0
431,1
432,0
433,1
434,1
435,1
436,1
437,0
438,1
439,0
440,1
441,1
442,0
443,1
444,0
445,1
446,0
447,1
448,1
449,1
450,0
451,1
452,0
453,1
454,0
455,0
456,1
457,0
458,1
459,1
460,1
461,1
462,1
463,0
464,0
465,1
466,0
467,0
468,0
469,1
470,1
471,0
472,1
473,1
474,1
475,1
476,0
477,0
478,0
479,1
480,1
481,0
482,1
483,0
484,1
485,0
486,1
487,0
488,0
489,0
490,1
491,0
492,1
493,1
494,1
495,0
496,0
497,1
498,1
499,1
500,1
501,1
502,1
503,0
504,0
505,0
506,0
507,0
508,1
509,1
510,1
511,0
512,1
513,0
514,0
515,1
516,1
517,1
518,0
519,1
520,0
521,0
522,1
523,0
524,0
525,0
526,1
527,0
528,0
529,0
530,0
531,0
532,0
